,name,coauthors
1259,Bo Porse,Jens Vilstrup Johansen
1261,Bo Porse,Anders H. Lund
1263,Bo Porse,Saverio Minucci
1265,Bo Porse,Assaf Weiner
1267,Bo Porse,Deborah Winter
1269,Bo Porse,Simon Haas
1271,Bo Porse,Andreas Schlitzer
1273,Bo Porse,Andreas Trumpp
1275,Bo Porse,Florent Ginhoux
1277,Bo Porse,Rehannah Borup Helweg-Larsen
1279,Bo Porse,Anders Krogh
1281,Bo Porse,Peter Arkwright
1283,Bo Porse,Albin Sandelin
1285,Bo Porse,Paul Bertone
1287,Bo Porse,Robert Mansson
1289,Bo Porse,Daniel G Tenen
1291,Bo Porse,Bogumil Kaczkowski
1293,Bo Porse,Casper Kaae Sønderby
1295,Bo Porse,Eleonora Leucci
1297,Bo Porse,Morten Lindow
1299,Bo Porse,Kim Holmstrøm
1301,Bo Porse,Sakari Kauppinen
1303,Bo Porse,Kasper Dindler Rasmussen
1305,Bo Porse,Sika Zheng
1307,Bo Porse,Wei Yan
1309,Bo Porse,Jianqiang Bao
1311,Bo Porse,Mary R Cahill
1313,Bo Porse,Karen Keeshan
1315,Bo Porse,Caitríona OConnor
1317,Bo Porse,Bjorn Dahlback
1319,Bo Porse,Dilek COLAK, PhD
1321,Bo Porse,Susanne Mandrup
1323,Bo Porse,Søren Moestrup
1325,Bo Porse,Alexander Mankin
1327,Bo Porse,Gangning Liang
1329,Bo Porse,Xiaojing Yang
1331,Bo Porse,Anna Blom
1333,Bo Porse,loveena rishi
1335,Bo Porse,Ester Lázaro
1337,Bo Porse,Patrick Kiely
1339,Bo Porse,Ylstra Bauke
1341,Bo Porse,Lars Bo Nielsen
1343,Bo Porse,Troels Torben Marstrand
1345,Bo Porse,Thomas Pape
1347,Anand Malpani,Gregory Hager
1352,Anand Malpani,S. Swaroop Vedula
1357,Anand Malpani,Russell H. Taylor
1362,Anand Malpani,Narges Ahmidi
1367,Anand Malpani,Robert DiPietro
1372,Anand Malpani,Colin Lea
1377,Anand Malpani,Amod Jog
1382,Anand Malpani,Sanjeev Khudanpur
1387,James G. Scott,Nick Polson
